extends,延伸
argument,论点
generic,一般的普通的
compiler,编译器
exceptions,例外
inside,内
initialization,初始化
synchronized,同步
thus,从而
containers,容器
swing,摇摆
inheritance,遗产
derived,派生的
pattern,模式
generator,发电机；生产者
annotations,注释
arguments,参数；争论
concurrent,同时
annotation,注解
regular,定期；有规律的
operators,操作符；运营商
primitive,原始
statement,声明
general,一般
character,字符；个性，特征
syntax,句法
course,课程；航线
cast,投
performance,性能
interrupted,中断
references,引用
via,通过
operator,操作符；运营商
counter,计数器；柜台；相对的
components,组件
anonymous,匿名
polymorphism,多态性
specific,具体
appropriate,适当
parameter,参数
dispose,处置
holding,保持
variable,变量
defined,定义
enumerated,列举
description,描述
section,部分
overloaded,重载（函数名同，参不）
instrument,仪器
append,附加
prevent,防止
machine,机
teller,出纳员
exact,精确
reflection,反射
extra,额外
sense,感
component,零件
rat,鼠
contents,内容
inherit,继承
separate,分离
events,事件
clause,条款；子句
nested,嵌套
explicit,明确
entire,整个
primitives,原语
effect,影响；作用
increment,增量
action,行动
cases,案例
mechanism,机制
ordinary,普通
demonstrates,演示
issues,的问题
runtime,运行
complex,复杂
interrupt,打断
original,原版的
containing,含
entry,条目
hierarchy,层次结构
composition,组成
constraints,限制
generated,产生
define,限定；定义
liftoff,起飞
blocked,受阻
wax,蜡
executors,执行者；遗嘱执行人
explicitly,明确
amount,总数；量
store,商店
matches,匹配；火柴
appear,出现
priority,优先
introduced,介绍
concept,概念
bean,豆角，扁豆
patterns,图案；模式
associated,相关
edition,版
statements,声明
override,重写
characters,字符；性格
parcel,包
groundhog,土拨鼠
exactly,精确地；究竟
generally,通常
constant,不变；持续
specify,指定
overloading,重载（函数名同，参不）
followed,紧随其后
implemented,实现
destination,目的地
mutt,傻子
regex,正则表达式
proxy,代理
piece,片
comment,评论
demonstrate,演示
sample,样品
collector,收集器
implementations,实现
mouse,老鼠
properly,恰当地
outcome,结果
especially,特别
straightforward,直截了当
summary,摘要
framework,框架
determine,确定
tag,标签
scissors,剪刀
eclipse,日食
comparat,比较
erasure,擦除
preceding,前
suppose,假设
otherwise,除此以外
meal,膳食
serializable,序列化
seminar,研讨会
ones,那些
property,属性；财产
buttons,按钮；纽扣
performed,执行
blip,屏幕上的雪花点；昙花一现
underlying,底层
scope,范围
unique,独特
several,一些
style,样式
initial,初始
fundamental,基本的
appears,出现
variables,变量
square,广场
assign,分配
comparison,比较
utility,效用
instances,实例
serialization,序列化
certain,某些
correct,正确
overridden,重写
contain,包含
entrance,入口
meaning,含义
synchronization,同步
specified,指定
generate,生成
strategy,战略
cause,原因
bound,界
caught,抓住
handler,处理程序
verify,校验
critical,重要的；批评的；危急
parameterized,参数化
significant,重大
messages,消息
comparable,类似的；可比
choice,选择
manipulate,操纵
finalize,敲定
performing,执行
individual,个人
situation,情况
provided,提供
dynamically,动态
properties,属性
volatile,易变的，不稳定的；易挥发
iteration,迭代
wildcards,通配符
notify,通知
declaration,宣言
fairly,相当
proper,恰当；正确
ensure,确保
term,术语
normally,一般
baseline,基线
exercises,练习
concepts,概念
expect,期望
specification,规格
latent,潜
optional,可选的
follow,跟随
effectively,有效
guarantee,保证
bowl,碗
hamster,仓鼠
console,安慰
parameters,参数
enumeration,列举
visual,视觉
complexity,复杂
modified,改进的
randomly,随机
electronic,电子
alternative,替代
capture,捕获
safety,安全
triangle,三角形
option,选项
completed,完成
chef,厨师
security,安全
custom,定制
graphical,图形
assignment,分配
adapter,适配器
generators,发电机
utilities,公用事业
primary,主
repeat,重复
loaded,加载
represents,代表
indicate,表明
convenient,方便
range,范围
amphibian,两栖动物
customers,顾客
typical,典型
layout,布局
dialog,对话；会话（人机，机机之间）
equivalent,当量
environment,环境
refer,参考
identical,相同
forced,被迫的
widget,小部件
tune,调
dim,暗淡
chopstick,筷子
progress,进展
tuple,元组
indicates,表示
desired,期望
overhead,开销
whereas,而
composite,综合
pause,暂停
comments,评论
bounds,界限
decorator,装饰
insertion,插入
cookie,曲奇饼
treemap,树图
yield,让
assume,假设
quantity,数量
daemon,守护进程
flash,闪
request,请求
correctly,正确
regardless,而不管
invoke,调用
yolk,蛋黄
worm,虫
cycles,周期
slider,滑块
covered,覆盖
upon,根据
simulation,模拟
gridlayout,网格布局
essential,必要
release,释放
oop,接力
technique,技术
annotated,注释
characteristics,特点
complicated,复杂
definitions,定义
transient,短暂的
experience,经验
applets,小程序
prevents,防止
significantly,显著
intended,意
portion,一部分
benin,贝宁
compete,竞争
countdown,倒数
approaches,接近
bitset,位集合
wrap,包裹
status,状态
behaviors,行为
identifier,标识符
reverse,相反
burrito,卷饼
accomplish,完成
internal,内部
inheriting,继承
rethrowing,重新抛出
external,外部
mutex,互斥
sophisticated,复杂
graphics,图形
efficient,高效
determined,决心
flexibility,灵活性
commonly,常用
convenience,方便
convert,兑换
callable,调用
throwable,抛出
effort,努力
aware,知道的
varargs,可变参数
unbounded,无界
released,释放
attempt,尝试
reasonable,合理
reduce,减少
causes,引起
lowercase,小写
extract,提取
inserted,插入
mug,杯
compilation,汇编
flavors,口味
terminate,终止
sphere,球
needed,需要
guaranteed,保证
idiom,成语
inherits,继承
machines,机器
actionscript,动作
shall,应
representation,表示
diagram,图
allocate,分配
letter,信
reflect,反映
cancel,取消
blocker,阻滞剂
toast,敬酒
throughout,始终
maintain,保持
collisions,碰撞
trace,跟踪
dispatching,调度
defining,定义
immediately,立即
native,当地人
referred,提及
follows,如下
virtually,实际上
characteristic,特性
integral,积分
subdirectory,子目录
failed,失败
round,回合
calculation,计算
chess,棋
frog,青蛙
acquired,收购
burkina,布基纳法索
faso,布基纳法索
synchronize,同步
manifest,表现
dispatch,调度
grid,网格
against,反对
capitals,首都
states,状态
certainly,当然
indeed,确实
submit,提交
concrete,具体
composing,构成
vehicle,车辆
processes,流程
natural,自然
readability,可读性
slightly,略
qualified,合格
delaytime,延迟时间
egyptianmau,埃及猫
explore,探索
insensitive,不敏感的
bounded,界
rewind,倒带
mixins,混入
portions,部分
platform,平台
platforms,平台
constants,常量
wrapping,包装
sublist,子表
removeall,移除所有
duration,持续时间
extension,延期
catching,醒目
formatter,格式化
previously,先前
forms,形式
detect,检测
among,其中
delay,延迟
channel,渠道
accessed,访问
accomplished,实现
incrementable,递增的
height,高度
ordering,排序
ordinal,序
cycle,周期
adjust,调整
incorrect,不正确
specifications,规格
aload,负载
proxied,代理
consistent,是一致的
knowledge,知识
equivalence,等价
terminating,终止
practice,实践
involved,参与其中
screen,屏幕
efficiency,效率
wrapper,包装
category,类别
integers,整数
implicitly,含蓄
uppercase,大写
corresponding,相应
combine,结合
enclosing,封闭
assert,断言
serialize,连载
scheduler,调度
monitor,监控
enterprise,企业
virtual,虚拟
considered,考虑
eventually,最终
communicate,通信
primarily,为主
prove,证明
impact,影响
erased,擦除
particularly,尤其
hierarchies,层次结构
scheme,方案
acquire,获得
advantage,优点
convention,惯例
observe,观摩
conditional,有条件的
basically,基本上
demonstration,示范
fibonacci,斐波那契数
relatively,相对
caller,呼叫者
externalizable,外部化
assembler,汇编
chapters,章节
providing,提供
author,作者
mentioned,提及
subject,学科
abstraction,抽象
embedded,嵌入式
synchronizing,同步
directories,目录
atomicity,原子
beans,豆子
according,根据
express,表达
independent,独立
increase,增加
parentheses,括号
tend,趋向
spot,点
applet,小程序
compelling,引人注目
accesses,访问
capacity,容量
velocity,速度
cupboard,橱柜
representing,代表
duplicate,重复
cleanser,清洁剂
beetle,甲虫
rodent,啮齿动物
algorithm,算法
manipulator,机械手
bathroom,浴室
canceled,取消
horse,马
ideal,理想
stay,留
editor,编辑
controlling,控制
termination,终止
organization,组织
polymorphic,多态
formatting,格式化
inference,推理
absolute,绝对
attention,注意
breaks,休息
medium,介质
rely,依靠
represented,表示
image,图片
trivial,不重要的
install,安装
competitor,竞争者
currently,目前
signature,签名
indicating,说明
simplify,简化
attach,连接
variation,变异
bite,咬
detergent,洗涤剂
dimension,尺寸
disposing,处置
waveform,波形
outer-class,外类
backed,支持
typed,类型
replacement,替换
timestamped,时间戳
addable,可加成
serialized,序列化
sleeper,轨枕
decided,决定
expressed,表达
general-purpose,一般用途
manipulation,操纵
compression,压缩
improved,改进
improve,提高
introduce,介绍
somewhat,有些
modification,修改
numerous,众多
experiment,实验
theory,理论
mirror,镜子
supported,支持的
combination,组合
pure,纯
obvious,明显
initially,原来
installed,安装
valid,有效
hex,十六进制
spiciness,辣味
entries,条目
scrub,擦洗
percussion,打击乐器
keyset,键集
invocation,调用
shrubbery,灌木
endian,端
delivery,交货
columnname,列名
accumulator,累加器
center,中央
truly,真正做到
basis,基础
foundation,基础
connection,连接
covariant,协变
boundaries,边界
accessing,访问
semaphore,信号
solving,解决
somewhere,某处
affect,影响
encounter,遭遇
adapt,适应
fetch,取
combined,结合
recover,恢复
located,位于
activities,活动
eliminate,消除
literal,文字
supposed,应该
curly,卷曲
act,法案
potential,潜在
doc,文档
constructed,建
specifier,符
doh,卫生署
contract,合同
latte,拿铁
row,行
fudge,做傻事
genk,亨克
logon,登录
bytecode,字节码
elementtype,元素类型
retention,保留
await,等待
latch,锁存器
canvas,帆布
excellent,优秀的
extend,延伸
advanced,高级
compared,相比较
lots,手
ternary,三元
pitfall,陷阱
immutable,不可改变的
compatibility,兼容性
self-bounding,自边界
preferences,首选项
visitor,游客
meaningful,有意义的
background,背景
period,期
so-called,所谓
establish,建立
constrained,限制
careful,小心
procedural,程序
achieve,实现
treated,对待
assigned,分配
roughly,大致
scripting,脚本
lower,降低
braces,括号
deprecated,弃用
exclusive,独家
multiply,乘
rule,规则
dessert,甜点
woodwind,木管乐器
filters,过滤器
shuffle,洗牌
peek,窥视
turtle,龟
sinewave,正弦波
folder,夹
technologies,技术
responsibility,责任
mathematical,数学
unary,一元
nesting,筑巢
migration,移民
multidimensional,多维
greenhouse,温室
intent,意图
appeared,出现了
nature,性质
supplement,补充
confusion,混乱
intermediate,中间
standalone,独立
below,下面
assembly,部件
domain,域
standpoint,立场
ignoring,忽略
behave,表现
restriction,限制
handed,手
door,门
sensible,明智的
script,脚本
constraint,约束
delayed,延迟
distinct,不同
hint,暗示
plain,平原
drop,下降
region,区域
destructor,析构函数
howdy,你好
toarray,指定者
intersection,路口
extracted,提取
msg,味精
mode,模式
rotate,旋转
wildcard,通配符
combiner,组合
prediction,预测
prefs,首选项
delivering,提供
suspended,暂停
pman,聚马来酸酐
border,边境
beyond,超越
explained,解释
develop,开发
recent,最近
opportunity,机会
distinguish,区分
minus,减去
recovering,恢复
persistence,持久性
generating,发电
tuning,调整
robust,强大的
anywhere,任何地方
presumably,想必
rapidly,迅速
distribute,分发
legal,法律
manipulating,操纵
simplicity,简单
distinction,区别
satisfy,满足
weight,重量
depend,依靠
erase,擦除
ordinarily,通常
parallel,平行
responsible,负责
update,更新
signed,签
arithmetic,算术
specifies,指定
reversed,逆转
ant,蚂蚁
nonzero,非零
banana,香蕉
declared,声明
flip,翻转
ending,结尾
accidentally,偶然
invoked,调用
guard,守护
orc,兽人
extreme,极端
received,接收
elegant,优雅
callee,被叫方
thermostat,温控器
shuffled,洗牌
logger,记录仪
trigger,触发
token,令牌
automobile,汽车
vary,变化
checksum,校验和
usecase,用例
receiver,接收器
swf,瑞士法郎
datagrid,数据网格
finish,完
accessible,无障碍
upper,上
permission,允许
compiling,编译
aliasing,走样
notation,符号
comma,逗号
delegation,代表团
substitution,代换
converting,转换
introspector,内省
redundant,多余的
originally,本来
despite,尽管
perspective,透视
disk,磁盘
bottom,底部
engine,发动机
erasing,擦除
messy,凌乱
maximum,最大值
aspect,方面
arbitrary,随心所欲
offset,偏移
removal,去除
complement,补充
ponder,思考
infinite,无限的
foreign,国外
labeled,标记
vowel,元音
wonder,奇迹
overload,超载
visible,可见
inputs,投入
whereto,去哪儿
occurred,发生
inning,一局
annoyance,烦恼
receipt,收据
employee,雇员
republic,共和国
vendingmachine,售货机
wake,唤醒
paint,涂料
pressed,按下
popup,弹出
attribute,属性
wonderful,精彩
modern,现代
engineering,工程
contained,遏制
extending,延伸
self-bounded,自我约束
lack,缺乏
applying,应用
comparing,比较
lock-free,无锁的
tabbed,标签式
analysis,分析
maintaining,维护
meant,意思
cross-platform,跨平台的
complain,抱怨
tedious,乏味
naturally,自然
comfortable,自在
handy,便利
constantly,不断
feed,饲料
purpose,目的
repair,修理
specifically,特别
necessarily,一定
respectively,分别
awkward,尴尬
classic,经典
tellers,出纳员
transaction,交易
predefined,预定义
extended,延长
precisely,精确
associative,关联
slow,慢
processed,处理
possibilities,可能性
anytime,任何时候
legacy,遗产
involve,涉及
modifies,修改
placement,放置
magic,魔法
optimization,优化
converted,转换
subsequent,随后
demonstrated,证明
commented,评论说
flow,流
division,师
hexadecimal,十六进制
trailing,尾随
originated,起源
compound,复合
sequential,顺序
consonant,辅音
counts,计数
shuffling,洗牌
degree,学位
capitalization,资本
collision,碰撞
wrapped,包裹
guarded,守卫
gerbil,沙鼠
glyph,字形
initializer,初始化
resize,调整
fuzzy,模糊
duplication,复制
sneeze,喷嚏
relevant,相关
americano,美式
chip,芯片
watercolors,水彩画
burnt,烧毁
umber,红棕色
flavor,味道
timestamp,时间戳
aggregate,骨料
algiers,阿尔及尔
bucket,桶
shortcut,捷径
recovered,恢复
mapped,映射
scanability,扫描能力
descriptor,描述
sticks,棒
calendar,日历
sine,正弦
pts,点
repaint,重绘
artist,艺术家
contrast,对比
brought,提起
technology,技术
consulting,咨询
quick,快
visibility,能见度
precedence,优先
chaining,链接
conversions,转换
curiously,好奇地问
filling,填充
contention,争
revolution,革命
suggested,建议
realize,实现
reliable,可靠
bunch,束
surprise,惊喜
cape,岬
developed,发达
percent,百分
established,成立
treating,治疗
collect,搜集
rapid,快速
enforce,执行
separated,分离
restricted,限制
brackets,括号
traffic,交通
restore,恢复
evaluate,评估
specialized,专门
precision,精确
extremely,非常
lightweight,轻巧
minimum,最小
reported,报道
unnecessary,不必要
keyboard,键盘
relative,相对的
expected,预期
positive,正
partly,部分地
incremented,递增
fair,公平
existence,存在
checkout,查看
varies,变化
sandwich,三明治
radius,半径
adapted,适应
configuration,组态
foul,犯规
astore,一家商店
cappuccino,卡布奇诺
internally,内部
supertype,超类型
serial,连载
accumulate,积累
stair,楼梯
race,种族
icon,图标
precise,精确
october,十月
entirely,完全
wrote,中写道
presented,提出了
overview,概述
singly,单
exponential,指数
specifying,指定
scanning,扫描
mystery,神秘
recurring,复发
covariance,协方差
redirecting,重定向
responsive,响应
hands-on,动手
account,帐户
expose,暴露
management,管理
extensible,可扩展性
communication,通讯
global,全球
attempting,尝试
direction,方向
packaged,包装
presentation,介绍
introductory,介绍
spent,花费
movement,运动
evolution,演化
inspiration,灵感
missed,错过
unusual,异常
gain,获得
present,当下
remainder,余
motivation,动机
latter,后者
implies,暗示
reach,达到
clone,克隆
drawn,画
fortunately,幸好
enforced,强制执行
response,响应
simultaneously,同时
formats,格式
accepted,公认
physically,物理
illegal,非法
consists,组成
assigning,分配
caused,造成的
conveniently,方便
surrounded,包围
tank,罐
evaluated,评估
narrowing,缩小
translation,翻译
overflow,溢出
african,非洲
implicit,隐式的
checkin,报到
belt,带
drawback,退税
leaving,离开
partially,部分
entered,进入
chosen,选择
indication,指示
sundae,圣代
instantiate,实例化
utensil,用具
relies,依托
declare,宣布
orchestra,乐队
disposed,处置
november,十一月
independently,独立
parse,解析
capabilities,能力
aliases,别名
alphabetic,字母
recovery,复苏
resumption,恢复
statically,静态
hire,聘请
rep,代表
chocolate,巧克力
cream,奶油
alist,一个列表
ext,分机
modifier,修改
seek,寻求
serializer,串行器
rolls,劳斯莱斯
opponent,对手
launch,发射
timeout,超时
suspend,暂停
sheet,片
president,主席
trial,审判
amazing,惊人
tremendous,巨大
definitely,肯定
meantime,与此同时
shelf,架
association,协会
animation,动画
award,奖
bulk,块
retrieval,恢复
imports,进口
revisited,重新审视
decoupling,去耦
proxies,代理
terminology,术语
interruption,中断
cooperation,合作
deeply,深
tied,并列
smalltalk,短暂聊天
multimedia,多媒体
prepare,准备
improvement,改进
delphi,德尔福
essentially,实质上
incorporate,包括
quality,质量
stated,说明
ultimately,最终
restrictive,限制
closely,密切
family,家庭
assumption,假设
programmatically,编程
promoted,推广
partial,部分
argue,争论
lying,说谎
backward,向后
accurately,准确
repeated,重复
capitalized,资本
preferred,首选
marked,标记
usual,通常
briefly,简要介绍
updated,更新
lowest,最低
audio,音频
nicely,很好
evaluation,评价
physical,物理
octal,八进制
suffix,后缀
negative,负
synthesized,合成
effective,有效
threat,威胁
spoon,勺
refactoring,重构
compressed,压缩
soap,肥皂
cartoon,动画片
eliminated,淘汰
separation,分离
wheat,小麦
retrieve,检索
qualify,出线
splitter,分离器
cutoff,隔断
conform,符合
february,二月
transparently,透明
totally,完全
testbed,测试平台
closure,关闭
detected,检测
heavy,重
inappropriate,不当
occurrence,发生
setup,设定
whitespace,空白
union,联盟
canonical,典范
multiline,多
preloaded,预装
verbose,冗长
sentinel,哨兵
layer,层
strawberry,草莓
submitted,提交
discarded,丢弃
secondary,次要的
reachable,到达
crawling,爬行
appetizer,开胃
quarter, 25美分硬币
abort,中止
sint,烧结靶
schedule,时间表
prod,刺
buttered,黄油
synched,同步
fired,被解雇
derivatives,衍生物
experienced,有经验的
ahead,先
fragments,片段
magazine,杂志
implied,默示
short-circuiting,短路
recursion,递归
quantifiers,量词
recursively,递归
registered,注册
mock,嘲笑
fetching,取
drop-down,落下
eliminating,消除
achieved,实现
dedicated,专用
adequate,充足
complaint,投诉
periodically,定期
community,社区
audience,听众
variety,品种
severe,严重
confuse,迷惑
paragraph,段
chose,选择
succinct,简洁
aforementioned,前述
similarity,相似
derive,派生
trash,垃圾
calculate,计算
regularly,经常
substituted,取代
minimal,最小的
optimal,最佳
embed,嵌入
arguably,可以说
investigate,调查
portable,便携
non-primitive,非原始
optimize,优化
clash,冲突
dramatic,戏剧性
appearance,出现
concatenation,级联
tricky,棘手
legitimate,合法
replaced,更换
compact,紧凑
semicolon,分号
conventional,常规
vampire,吸血鬼
assuming,假设
interpreter,翻译
explored,探讨
improper,不当
occasionally,偶尔
enabled,启用
concern,关心
subtle,微妙
watersource,水源
dilute,稀
foam,泡沫
guideline,指南
wheel,轮
optimized,优化
narrow,狭窄
livingcreature,生物
ought,应该
broken,破碎
moreuseful,更有用
protocol,协议
coupling,耦合
rarely,很少
surrounding,周围
event-driven,事件驱动
hunting,狩猎
surprising,奇怪
powder,粉末
categories,类别
populate,填充
efficiently,有效率的
randomized,随机
cloneable,可复制的
init,在里面
succeeds,成功
requirement,需求
greedy,贪婪
fuelfilter,燃油过滤器
ctor,构造函数
gamma,伽马
absence,缺席
makea,做一个
decoration,装饰
payable,支付
setter,二传手
linear,线性的
trimmed,修剪
ouagadougou,瓦加杜古
nanoseconds,纳秒
dramatically,大幅提升
span,跨度
snap,单元
hanging,挂
scrolling,滚动
raf,英国皇家空军
cartooncharacter,卡通人物
scannability,可扫描
metadata,元数据
multiplier,乘数
driving,驾驶
waxed,打蜡
dining,用餐
lasttime,上次
served,提供服务
panel,面板
tabbedpane,选项卡窗格
menuitem,菜单项
horizontal,水平
challenging,具有挑战性的
corporation,公司
published,出版
focused,聚焦
expanded,扩大
tutorial,教程
practical,实际的
appreciate,欣赏
recommend,推荐
retained,保留
united,联合的
curve,曲线
invaluable,无价
oriented,导向
coverage,覆盖
science,科学
ordered,订购
decrement,减量
twist,捻
annotation-based,注释为主
packaging,打包
trim,修剪
inspired,启发
production,生产
painting,绘画
folks,乡亲
graphic,图形
supporting,支持
illusion,错觉
confused,困惑
duplicated,复制
maintenance,保养
vice,副
